nX,Swept,Classic,Speedup
513000.0,1307.829668797342,4446.238010886503,3.399707253143437
763000.0,1935.0009607291913,4626.745720010615,2.3910818722627707
1012000.0,2588.510202235921,5294.023456515822,2.0452009236598387
2012000.0,4950.699206434461,8908.862591328822,1.799516031947549
4013000.0,9781.711321615869,16781.955690983028,1.71564618288191
6013000.0,14436.526329414593,23708.02800230856,1.6422252459723066
8011000.0,18969.77500142447,33403.38795765515,1.7608742304611855
