model, tpb, share, grid, time
tEulerC-full.csv, 1024.0, 60.0, 491520.0, 2418.57556502
tEulerC-full.csv, 96.0, 65.0, 499200.0, 2472.39327431
tEulerC-full.csv, 128.0, 100.0, 501760.0, 2492.50717958
tEulerC-full.csv, 192.0, 95.0, 506880.0, 2477.07915306
tEulerC-full.csv, 256.0, 25.0, 512000.0, 2547.65681426
tEulerC-full.csv, 384.0, 40.0, 522240.0, 2576.43040021
tEulerC-full.csv, 1024.0, 45.0, 983040.0, 4566.66632493
tEulerC-full.csv, 192.0, 10.0, 998400.0, 4625.09095669
tEulerC-full.csv, 128.0, 25.0, 1003520.0, 4624.37450886
tEulerC-full.csv, 384.0, 15.0, 1013760.0, 4681.5969944
tEulerC-full.csv, 512.0, 90.0, 1024000.0, 4740.98233382
tEulerC-full.csv, 768.0, 75.0, 1044480.0, 4803.88526122
tEulerC-full.csv, 192.0, 55.0, 1996800.0, 9509.27424431
tEulerC-full.csv, 64.0, 40.0, 2001920.0, 9486.49879296
tEulerC-full.csv, 96.0, 5.0, 2004480.0, 9543.46048832
tEulerC-full.csv, 256.0, 65.0, 2007040.0, 9573.69979222
tEulerC-full.csv, 768.0, 25.0, 2027520.0, 9923.33273093
tEulerC-full.csv, 1024.0, 5.0, 2048000.0, 9922.55524794
tEulerC-full.csv, 256.0, 70.0, 4997120.0, 42446.34155432
tEulerC-full.csv, 96.0, 90.0, 4999680.0, 42433.02126725
tEulerC-full.csv, 64.0, 0.0, 5002240.0, 42461.00473403
tEulerC-full.csv, 192.0, 10.0, 5007360.0, 42484.90409056
tEulerC-full.csv, 768.0, 85.0, 5038080.0, 42815.94359874
tEulerC-full.csv, 768.0, 95.0, 7987200.0, 67756.52070839
tEulerC-full.csv, 192.0, 50.0, 8002560.0, 67725.84136326
tEulerC-full.csv, 256.0, 35.0, 8007680.0, 67802.64457066
tEulerC-full.csv, 384.0, 85.0, 8017920.0, 68077.2460699
tEulerC-full.csv, 1024.0, 25.0, 8028160.0, 68016.02013905
tEulerC-full.csv, 1024.0, 90.0, 9994240.0, 84726.20352108
tEulerC-full.csv, 96.0, 80.0, 9999360.0, 84776.6257127
tEulerC-full.csv, 128.0, 55.0, 10004480.0, 84963.60150972
tEulerC-full.csv, 384.0, 75.0, 10014720.0, 84849.04515742
tEulerS-full.csv, 1024.0, 5.0, 81920.0, 441.7146168
tEulerS-full.csv, 96.0, 65.0, 99840.0, 503.18961441
tEulerS-full.csv, 64.0, 75.0, 102400.0, 515.6268227
tEulerS-full.csv, 192.0, 85.0, 107520.0, 537.65344872
tEulerS-full.csv, 384.0, 5.0, 122880.0, 604.18504413
tEulerS-full.csv, 1024.0, 45.0, 491520.0, 2116.3514272
tEulerS-full.csv, 96.0, 35.0, 499200.0, 2164.35155229
tEulerS-full.csv, 128.0, 80.0, 501760.0, 2175.44893794
tEulerS-full.csv, 192.0, 5.0, 506880.0, 2192.86394813
tEulerS-full.csv, 256.0, 35.0, 512000.0, 2213.91057498
tEulerS-full.csv, 384.0, 50.0, 522240.0, 2255.02950332
tEulerS-full.csv, 1024.0, 80.0, 983040.0, 4211.48720973
tEulerS-full.csv, 192.0, 100.0, 998400.0, 4291.97850208
tEulerS-full.csv, 256.0, 25.0, 1003520.0, 4308.28591711
tEulerS-full.csv, 384.0, 30.0, 1013760.0, 4352.00144374
tEulerS-full.csv, 512.0, 10.0, 1024000.0, 4393.29165965
tEulerS-full.csv, 768.0, 25.0, 1044480.0, 4476.54828895
tEulerS-full.csv, 384.0, 30.0, 1996800.0, 8544.92589595
tEulerS-full.csv, 64.0, 75.0, 2001920.0, 8616.42565182
tEulerS-full.csv, 96.0, 65.0, 2004480.0, 8625.59521816
tEulerS-full.csv, 512.0, 80.0, 2007040.0, 8586.81757624
tEulerS-full.csv, 768.0, 40.0, 2027520.0, 8667.24589529
tEulerS-full.csv, 1024.0, 15.0, 2048000.0, 8750.37031559
tEulerS-full.csv, 1024.0, 50.0, 4997120.0, 21340.19788355
tEulerS-full.csv, 96.0, 55.0, 4999680.0, 21427.35140257
tEulerS-full.csv, 64.0, 0.0, 5002240.0, 21487.53376876
tEulerS-full.csv, 384.0, 30.0, 5007360.0, 21399.88084319
tEulerS-full.csv, 768.0, 95.0, 5038080.0, 21512.08390327
tEulerS-full.csv, 768.0, 70.0, 7987200.0, 34116.89253214
tEulerS-full.csv, 192.0, 95.0, 8002560.0, 34245.41376255
tEulerS-full.csv, 256.0, 40.0, 8007680.0, 34245.60251205
tEulerS-full.csv, 384.0, 70.0, 8017920.0, 34238.91725048
tEulerS-full.csv, 1024.0, 45.0, 8028160.0, 34262.73939355
tEulerS-full.csv, 1024.0, 60.0, 9994240.0, 42655.23802799
tEulerS-full.csv, 192.0, 65.0, 9999360.0, 42747.29627465
tEulerS-full.csv, 128.0, 60.0, 10004480.0, 42825.55499292
tEulerS-full.csv, 768.0, 80.0, 10014720.0, 42755.47422003
