tpb,gpuA,nX,time
64,,102400,518.87713848
64,,199680,910.15947785
64,,302080,1353.13081456
64,,399360,1919.90967761
64,,599040,2740.44960896
64,,803840,3489.74562230
64,,1203200,5996.87661421
64,,1602560,7380.93145984
64,,2401280,10347.86797901
64,,3200000,13783.79667059
64,,4802560,20698.21878475
64,,6400000,27538.97831637
64,,9600000,41297.69530227
64,,12800000,55877.33683592
64,5,102400,529.76517126
64,5,199680,904.60086915
64,5,302080,1346.92563021
64,5,399360,1769.38837196
64,5,599040,2625.14367066
64,5,803840,3492.63553607
64,5,1203200,5205.19345523
64,5,1602560,6904.47166562
64,5,2401280,10702.30291720
64,5,3200000,13795.82238324
64,5,4802560,20701.34513556
64,5,6400000,27533.44978741
64,5,9600000,42076.72955508
64,5,12800000,55008.44089275
64,10,102400,519.43910249
64,10,199680,911.98467194
64,10,302080,1345.43602929
64,10,399360,1754.34798795
64,10,599040,2624.54148144
64,10,803840,3475.54683685
64,10,1203200,5209.80175822
64,10,1602560,6924.68667601
64,10,2401280,10391.42985927
64,10,3200000,13814.95218486
64,10,4802560,20717.85498807
64,10,6400000,28248.07864554
64,10,9600000,41343.20007994
64,10,12800000,55190.56827464
64,15,102400,518.67371385
64,15,199680,904.34806461
64,15,302080,1368.36241693
64,15,399360,1748.48604551
64,15,599040,2837.15711471
64,15,803840,3480.59722084
64,15,1203200,5483.84184057
64,15,1602560,7452.70139676
64,15,2401280,10457.96481219
64,15,3200000,13787.44860437
64,15,4802560,20731.19798715
64,15,6400000,27599.31268210
64,15,9600000,41268.75372009
64,15,12800000,55640.12231820
64,20,102400,511.17042436
64,20,199680,900.85738834
64,20,302080,1362.73936864
64,20,399360,1746.27532350
64,20,599040,2642.63505790
64,20,803840,3487.26065552
64,20,1203200,5210.89738988
64,20,1602560,6910.74263701
64,20,2401280,10381.83707823
64,20,3200000,13791.71810410
64,20,4802560,20706.05021683
64,20,6400000,27528.55392371
64,20,9600000,41889.11287867
64,20,12800000,55027.35835282
64,25,102400,518.42851842
64,25,199680,897.18718478
64,25,302080,1344.41997618
64,25,399360,1750.39371119
64,25,599040,2631.79474054
64,25,803840,3496.80623634
64,25,1203200,5210.07013765
64,25,1602560,6911.91784720
64,25,2401280,10370.22515022
64,25,3200000,13795.45615550
64,25,4802560,20679.75890129
64,25,6400000,28278.91604380
64,25,9600000,41355.53098898
64,25,12800000,55146.17339569
64,30,102400,521.35077087
64,30,199680,902.99689389
64,30,302080,1345.61353541
64,30,399360,1758.07363492
64,30,599040,2616.63082749
64,30,803840,3680.49423745
64,30,1203200,5215.48718531
64,30,1602560,7756.13453477
64,30,2401280,10633.66155041
64,30,3200000,13791.54674075
64,30,4802560,20675.65478067
64,30,6400000,27590.90751568
64,30,9600000,41389.65116061
64,30,12800000,55738.71081814
64,35,102400,518.74849708
64,35,199680,901.58691115
64,35,302080,1348.06398382
64,35,399360,1749.78541884
64,35,599040,2610.77847570
64,35,803840,3489.42025386
64,35,1203200,5206.73473465
64,35,1602560,6901.75291706
64,35,2401280,10353.85800803
64,35,3200000,13777.35136354
64,35,4802560,20702.82340208
64,35,6400000,27597.62952461
64,35,9600000,41823.92140811
64,35,12800000,55194.67925138
64,40,102400,517.52307472
64,40,199680,907.79982349
64,40,302080,1344.37527270
64,40,399360,1753.12740055
64,40,599040,2611.00234979
64,40,803840,3512.40945623
64,40,1203200,5204.06584156
64,40,1602560,6909.58629105
64,40,2401280,10390.34500718
64,40,3200000,13812.28170655
64,40,4802560,20675.67253525
64,40,6400000,28102.55224083
64,40,9600000,41377.69630773
64,40,12800000,55250.67733957
64,45,102400,511.78632581
64,45,199680,914.96644978
64,45,302080,1352.81796944
64,45,399360,1766.65840789
64,45,599040,2623.70392522
64,45,803840,3573.07660136
64,45,1203200,5299.10303018
64,45,1602560,7474.29488346
64,45,2401280,10963.26651725
64,45,3200000,13803.38333547
64,45,4802560,20681.62808551
64,45,6400000,27558.03349329
64,45,9600000,41318.45440319
64,45,12800000,55721.41845651
64,50,102400,516.00791197
64,50,199680,912.77589982
64,50,302080,1352.61121582
64,50,399360,1752.42641188
64,50,599040,2624.23414499
64,50,803840,3495.72082942
64,50,1203200,5210.74619858
64,50,1602560,6916.60814621
64,50,2401280,10372.09770305
64,50,3200000,13798.85496770
64,50,4802560,20701.65132271
64,50,6400000,27549.14578288
64,50,9600000,41833.60252609
64,50,12800000,55132.73417316
64,55,102400,518.40751412
64,55,199680,899.19436327
64,55,302080,1358.99077546
64,55,399360,1746.16336664
64,55,599040,2628.20403627
64,55,803840,3478.21814741
64,55,1203200,5264.73920872
64,55,1602560,6914.77486745
64,55,2401280,10372.47562187
64,55,3200000,13779.95201248
64,55,4802560,20695.47586143
64,55,6400000,28264.44598589
64,55,9600000,41384.95915748
64,55,12800000,55246.84984158
64,60,102400,516.37148445
64,60,199680,900.43282414
64,60,302080,1348.54220805
64,60,399360,1752.87154444
64,60,599040,2618.37505597
64,60,803840,3490.23098007
64,60,1203200,5493.66150765
64,60,1602560,7227.73555428
64,60,2401280,10828.12705414
64,60,3200000,13799.29181743
64,60,4802560,20669.94783409
64,60,6400000,27537.28699494
64,60,9600000,41360.70153339
64,60,12800000,55652.66208129
64,65,102400,547.84951375
64,65,199680,945.02137855
64,65,302080,1344.68803856
64,65,399360,1742.67938797
64,65,599040,2631.35091580
64,65,803840,3497.99745736
64,65,1203200,5229.91428350
64,65,1602560,6908.58902291
64,65,2401280,10360.68428546
64,65,3200000,13825.85511880
64,65,4802560,20694.93466394
64,65,6400000,27594.34516601
64,65,9600000,42009.14775596
64,65,12800000,55026.14692012
64,70,102400,517.40303319
64,70,199680,900.78319958
64,70,302080,1348.02344156
64,70,399360,1745.90330967
64,70,599040,2619.68770560
64,70,803840,3479.33502115
64,70,1203200,5241.70462914
64,70,1602560,6918.54141336
64,70,2401280,10371.53023038
64,70,3200000,13774.95136508
64,70,4802560,20652.99736693
64,70,6400000,28130.28528335
64,70,9600000,41414.02541798
64,70,12800000,55338.13443431
64,75,102400,511.04190185
64,75,199680,908.36293678
64,75,302080,1345.04915393
64,75,399360,1740.34034160
64,75,599040,2632.25251531
64,75,803840,3481.25699353
64,75,1203200,5301.02646890
64,75,1602560,7000.85174213
64,75,2401280,11341.69089826
64,75,3200000,13852.01672290
64,75,4802560,20669.00275965
64,75,6400000,27573.91171094
64,75,9600000,41325.75815187
64,75,12800000,55368.54972548
64,80,102400,676.38054966
64,80,199680,1116.68148732
64,80,302080,1517.02301933
64,80,399360,1771.90274476
64,80,599040,2627.98674088
64,80,803840,3476.85100550
64,80,1203200,5226.66713817
64,80,1602560,6909.70082391
64,80,2401280,10374.91897636
64,80,3200000,13788.30308293
64,80,4802560,20671.19382480
64,80,6400000,27537.14222382
64,80,9600000,41877.93902894
64,80,12800000,55140.68453711
64,85,102400,512.63002481
64,85,199680,910.15325582
64,85,302080,1357.40364327
64,85,399360,1747.76131802
64,85,599040,2614.67485193
64,85,803840,3478.98761801
64,85,1203200,5207.10555955
64,85,1602560,6942.81809983
64,85,2401280,10378.65385730
64,85,3200000,13805.11575398
64,85,4802560,20694.91857385
64,85,6400000,27769.59903063
64,85,9600000,41805.74516191
64,85,12800000,55141.22918248
64,90,102400,524.69184107
64,90,199680,899.70892890
64,90,302080,1342.22772210
64,90,399360,1747.72616555
64,90,599040,2629.19452755
64,90,803840,3489.53336002
64,90,1203200,5211.70688753
64,90,1602560,7083.44083359
64,90,2401280,11028.65594340
64,90,3200000,13851.24051507
64,90,4802560,20712.16036665
64,90,6400000,27619.09999746
64,90,9600000,41291.46998550
64,90,12800000,55095.90115794
64,95,102400,559.37005326
64,95,199680,1047.19237920
64,95,302080,1803.88812689
64,95,399360,2075.21889279
64,95,599040,2707.60887639
64,95,803840,3497.59897019
64,95,1203200,5231.01578050
64,95,1602560,6935.30648788
64,95,2401280,10366.67522598
64,95,3200000,13801.39212818
64,95,4802560,20724.70349834
64,95,6400000,27591.00873261
64,95,9600000,41782.90425780
64,95,12800000,55096.63163189
64,100,102400,518.36594147
64,100,199680,904.70822885
64,100,302080,1364.51018935
64,100,399360,1755.98196368
64,100,599040,2618.92271327
64,100,803840,3478.88727296
64,100,1203200,5203.62471171
64,100,1602560,6911.65469904
64,100,2401280,10368.80803394
64,100,3200000,13808.14520761
64,100,4802560,20694.26601396
64,100,6400000,27567.69638112
64,100,9600000,41830.30354374
64,100,12800000,55186.22248572
96,,99840,507.62117621
96,,199680,898.04537268
96,,299520,1333.27928039
96,,399360,1757.65505033
96,,599040,2613.73467654
96,,798720,3458.83347282
96,,1205760,5215.62587851
96,,1605120,7023.61451835
96,,2403840,10671.93036535
96,,3202560,14246.01678038
96,,4800000,22757.51885348
96,,6405120,30293.14435494
96,,9600000,41256.47046968
96,,12802560,54963.32433278
96,5,99840,613.21682031
96,5,199680,1048.55216673
96,5,299520,1852.92365541
96,5,399360,1908.28323048
96,5,599040,2621.97749232
96,5,798720,3460.23125319
96,5,1205760,5225.68058049
96,5,1605120,6929.74634538
96,5,2403840,10350.53911279
96,5,3202560,13763.27820825
96,5,4800000,20603.65534399
96,5,6405120,27517.90784586
96,5,9600000,41643.18686937
96,5,12802560,54919.02846422
96,10,99840,501.09296364
96,10,199680,903.66954189
96,10,299520,1328.81130672
96,10,399360,1739.76950120
96,10,599040,2607.24378614
96,10,798720,3447.63013471
96,10,1205760,5209.70198421
96,10,1605120,6922.95691723
96,10,2403840,10367.09780554
96,10,3202560,13780.40369922
96,10,4800000,20637.21600440
96,10,6405120,27493.70238379
96,10,9600000,41778.01787932
96,10,12802560,54935.70604964
96,15,99840,502.92733023
96,15,199680,894.24429028
96,15,299520,1325.86340980
96,15,399360,1751.28000508
96,15,599040,2609.94542801
96,15,798720,3451.98606273
96,15,1205760,5221.74999850
96,15,1605120,7061.57709656
96,15,2403840,10859.84402127
96,15,3202560,14108.29502431
96,15,4800000,20633.50690155
96,15,6405120,27467.74543171
96,15,9600000,41132.00595813
96,15,12802560,54941.67913954
96,20,99840,505.43325831
96,20,199680,901.86228632
96,20,299520,1329.02585969
96,20,399360,1937.78060347
96,20,599040,3012.91814363
96,20,798720,3568.98970338
96,20,1205760,5200.99622320
96,20,1605120,6917.70810688
96,20,2403840,10345.95921220
96,20,3202560,13762.29611684
96,20,4800000,20619.11522946
96,20,6405120,27503.56857520
96,20,9600000,41575.58202269
96,20,12802560,55053.19840088
96,25,99840,499.17116900
96,25,199680,907.45693026
96,25,299520,1331.27302604
96,25,399360,1737.73716487
96,25,599040,2617.56781721
96,25,798720,3452.15367606
96,25,1205760,5207.15790283
96,25,1605120,6931.60141132
96,25,2403840,10385.98578923
96,25,3202560,13779.17966678
96,25,4800000,20661.83371215
96,25,6405120,27537.04960444
96,25,9600000,41797.03472937
96,25,12802560,55038.75420863
96,30,99840,503.90704694
96,30,199680,904.89108091
96,30,299520,1341.85965793
96,30,399360,1742.90028860
96,30,599040,2608.41233005
96,30,798720,3454.81771872
96,30,1205760,5212.44937838
96,30,1605120,6911.67078170
96,30,2403840,10518.20408934
96,30,3202560,14680.49490436
96,30,4800000,20669.04231213
96,30,6405120,27471.20281773
96,30,9600000,41221.72784837
96,30,12802560,54976.02091368
96,35,99840,500.49113879
96,35,199680,898.49220962
96,35,299520,1334.76524081
96,35,399360,1753.97444373
96,35,599040,2758.42697022
96,35,798720,3937.05883349
96,35,1205760,5326.35781236
96,35,1605120,6908.41488788
96,35,2403840,10407.57165487
96,35,3202560,13753.84136025
96,35,4800000,20641.67178801
96,35,6405120,27501.13115684
96,35,9600000,41368.99719200
96,35,12802560,55252.74647976
96,40,99840,501.26833428
96,40,199680,896.32740534
96,40,299520,1343.08012833
96,40,399360,1755.34887301
96,40,599040,2605.95484559
96,40,798720,3449.97027006
96,40,1205760,5210.92261293
96,40,1605120,6926.19749433
96,40,2403840,10375.26447301
96,40,3202560,13801.45209402
96,40,4800000,20623.15845078
96,40,6405120,27543.79826713
96,40,9600000,41878.40551811
96,40,12802560,55011.48207571
96,45,99840,500.28129561
96,45,199680,893.56445696
96,45,299520,1326.77742685
96,45,399360,1746.13417699
96,45,599040,2605.78074145
96,45,798720,3462.98351547
96,45,1205760,5228.31731425
96,45,1605120,6924.46686199
96,45,2403840,10486.74217733
96,45,3202560,14390.33696059
96,45,4800000,20687.05542154
96,45,6405120,27476.84831955
96,45,9600000,41219.35229061
96,45,12802560,54898.33912210
96,50,99840,499.11587837
96,50,199680,894.05344460
96,50,299520,1327.00143899
96,50,399360,1745.39418493
96,50,599040,2615.22024118
96,50,798720,3558.66495990
96,50,1205760,5946.62282255
96,50,1605120,6906.83409829
96,50,2403840,10344.83008809
96,50,3202560,13780.96820190
96,50,4800000,20587.09356414
96,50,6405120,27537.04477591
96,50,9600000,41276.99291089
96,50,12802560,55340.99649940
96,55,99840,502.35799901
96,55,199680,900.34347606
96,55,299520,1327.89356933
96,55,399360,1743.90426670
96,55,599040,2611.37791839
96,55,798720,3463.96461743
96,55,1205760,5604.10073396
96,55,1605120,6914.78597532
96,55,2403840,10390.04626660
96,55,3202560,13784.21095580
96,55,4800000,20626.39601994
96,55,6405120,27550.30431595
96,55,9600000,41732.18451965
96,55,12802560,54987.45526926
96,60,99840,501.93423611
96,60,199680,1013.93564131
96,60,299520,1344.10848656
96,60,399360,1751.28356711
96,60,599040,2616.03452137
96,60,798720,3450.68279491
96,60,1205760,5201.91542498
96,60,1605120,6912.50429685
96,60,2403840,10417.74394344
96,60,3202560,14322.54356375
96,60,4800000,20701.53210743
96,60,6405120,27517.07733865
96,60,9600000,41227.50625351
96,60,12802560,54973.80101665
96,65,99840,507.87332840
96,65,199680,919.61263660
96,65,299520,1330.83378810
96,65,399360,1757.19812097
96,65,599040,2625.34903340
96,65,798720,3452.25614381
96,65,1205760,5440.62858400
96,65,1605120,7346.69425256
96,65,2403840,10347.29596312
96,65,3202560,13774.71200973
96,65,4800000,20652.58521641
96,65,6405120,27490.27377106
96,65,9600000,41255.48960520
96,65,12802560,55330.56485542
96,70,99840,499.66759732
96,70,199680,896.88391325
96,70,299520,1340.83070603
96,70,399360,1752.60662399
96,70,599040,2606.99638333
96,70,798720,3459.92036708
96,70,1205760,5213.35623179
96,70,1605120,6939.47302393
96,70,2403840,10363.85794085
96,70,3202560,13808.77923047
96,70,4800000,20614.45546024
96,70,6405120,27473.33967986
96,70,9600000,41697.17700200
96,70,12802560,54871.09698939
96,75,99840,504.31074374
96,75,199680,897.18937716
96,75,299520,1343.17844038
96,75,399360,1861.77470770
96,75,599040,2646.66715308
96,75,798720,3449.48646715
96,75,1205760,5206.53296435
96,75,1605120,6910.55475795
96,75,2403840,10344.78386085
96,75,3202560,14092.49908104
96,75,4800000,21094.74865880
96,75,6405120,27533.60915786
96,75,9600000,41171.64221576
96,75,12802560,54979.83442360
96,80,99840,502.29902761
96,80,199680,898.08657350
96,80,299520,1334.16709672
96,80,399360,1752.46806100
96,80,599040,2608.31382012
96,80,798720,3445.21048693
96,80,1205760,5205.31657049
96,80,1605120,7496.25453594
96,80,2403840,10429.94734142
96,80,3202560,13820.93434315
96,80,4800000,20627.79407736
96,80,6405120,27484.46251608
96,80,9600000,41185.16732497
96,80,12802560,55377.77205071
96,85,99840,499.00513879
96,85,199680,896.34937119
96,85,299520,1336.16970988
96,85,399360,1752.82109781
96,85,599040,2636.99817942
96,85,798720,3451.40485808
96,85,1205760,5205.13751909
96,85,1605120,6934.50909687
96,85,2403840,10365.43018156
96,85,3202560,13804.67901667
96,85,4800000,20607.82462161
96,85,6405120,27508.71266185
96,85,9600000,41791.43913555
96,85,12802560,55046.14561994
96,90,99840,499.19083932
96,90,199680,896.34620494
96,90,299520,1329.92828035
96,90,399360,1746.89423516
96,90,599040,2679.14665806
96,90,798720,3555.35385460
96,90,1205760,5210.16580017
96,90,1605120,6903.94616222
96,90,2403840,10351.72186525
96,90,3202560,14002.70579187
96,90,4800000,21260.73845196
96,90,6405120,27512.68183251
96,90,9600000,41188.24424655
96,90,12802560,54921.01255483
96,95,99840,499.58135661
96,95,199680,895.55515711
96,95,299520,1332.66459265
96,95,399360,1743.67174526
96,95,599040,2612.03820012
96,95,798720,3472.35177459
96,95,1205760,5215.96264871
96,95,1605120,6972.15212136
96,95,2403840,10982.24722532
96,95,3202560,13797.99751805
96,95,4800000,20629.29329644
96,95,6405120,27436.71666262
96,95,9600000,41243.84639589
96,95,12802560,55353.14674396
96,100,99840,499.27288476
96,100,199680,896.25905393
96,100,299520,1334.08734681
96,100,399360,1737.80337906
96,100,599040,2619.99918012
96,100,798720,3463.78703041
96,100,1205760,5210.42816351
96,100,1605120,6901.22049643
96,100,2403840,10371.41585730
96,100,3202560,13766.36387659
96,100,4800000,20616.73986959
96,100,6405120,27476.96305651
96,100,9600000,41736.79952602
96,100,12802560,54925.19604099
128,,102400,521.92157253
128,,204800,923.72016862
128,,307200,1366.21581747
128,,399360,1756.04850371
128,,604160,2638.92756181
128,,798720,3466.77952466
128,,1198080,5479.04644082
128,,1607680,6901.60275615
128,,2406400,10341.47633200
128,,3205120,13828.13123154
